bourse,name,isoname,mic,omic,bciso
Amsterdam,NYSE Euronext _ Amsterdam,NYSE EURONEXT - EURONEXT AMSTERDAM,XAMS,XAMS,NLD
Athens,Athens Stock Exchange,ATHENS STOCK EXCHANGE,ASEX,ASEX,GRC
ASX,Australian Stock Exchange,ASX - ALL MARKETS,XASX,XASX,AUS
Buenos Aires,Buenos Aires Stock Exchange,BOLSA DE COMERCIO DE BUENOS AIRES,XBUE,XBUE,ARG
Barcelona Stock Exchange (BAR),BOLSA DE BARCELONA,BOLSA DE BARCELONA,XBAR,BMEX,ESP
Berlin,Berlin Stock Exchange,BOERSE BERLIN,XBER,XBER,DEU
Bilbao Stock Exchange (BIL),BOLSA DE VALORES DE BILBAO,BOLSA DE VALORES DE BILBAO,XBIL,BMEX,ESP
Stock Exchange of Thailand (SET),STOCK EXCHANGE OF THAILAND,STOCK EXCHANGE OF THAILAND,XBKK,XBKK,THA
Bremen Stock Exchange (BRE),BREMER WERTPAPIERBOERSE,BREMER WERTPAPIERBOERSE,XBRE,XBRE,DEU
BSE,Bombay Stock Exchange,BSE LTD,XBOM,XBOM,IND
Brussels,NYSE Euronext - Brussels,NYSE EURONEXT - EURONEXT BRUSSELS,XBRU,XBRU,BEL
Calcutta Stock Exchange (CAL),CALCUTTA STOCK EXCHANGE,CALCUTTA STOCK EXCHANGE,XCAL,XCAL,IND
Copenhagen,Copenhagen Stock Exchange,OMX NORDIC EXCHANGE COPENHAGEN A/S,XCSE,XCSE,DNK
Caracas Stock Exchange (CCS),BOLSA ELECTRONICA DE VALORES DE CARACAS,BOLSA ELECTRONICA DE VALORES DE CARACAS,BVCA,BVCA,VEN
Dusseldorf Stock Exchange (DUS),BOERSE DUESSELDORF,BOERSE DUESSELDORF,XDUS,XDUS,DEU
XETRA,XETRA Stock Exchange,XETRA,XETR,XFRA,DEU
Dusseldorf,Dusseldorf Stock Exchange,BOERSE DUESSELDORF,XDUS,XDUS,DEU
Frankfurt,Frankfurt Stock Exchange,DEUTSCHE BOERSE AG,XFRA,XFRA,DEU
Hamburg Stock Exchange (HAM),HANSEATISCHE WERTPAPIERBOERSE HAMBURG,HANSEATISCHE WERTPAPIERBOERSE HAMBURG,XHAM,XHAM,DEU
Hanover Stock Exchange (HAN),NIEDERSAECHSISCHE BOERSE ZU HANNOVER,NIEDERSAECHSISCHE BOERSE ZU HANNOVER,XHAN,XHAN,DEU
HKSE,Hong Kong Stock Exchange,HONG KONG EXCHANGES AND CLEARING LTD,XHKG,XHKG,HKG
Hamburg,Hamburg Stock Exchange,HANSEATISCHE WERTPAPIERBOERSE HAMBURG,XHAM,XHAM,DEU
Jakarta,Jakarta Stock Exchange,INDONESIA STOCK EXCHANGE,XIDX,XIDX,IDN
Kuala Lumpur Stock Exchange (KLS),BURSA MALAYSIA,BURSA MALAYSIA,XKLS,XKLS,MYS
Korea Stock Exchange (KSC),KOREA STOCK EXCHANGE,KOREA STOCK EXCHANGE,XKOR,XKOR,KOR
LSE,London Stock Exchange,LONDON STOCK EXCHANGE,XLON,XLON,GBR
Lima Stock Exchange (LMA),BOLSA DE VALORES DE LIMA,BOLSA DE VALORES DE LIMA,XLIM,XLIM,PER
Lisbon,NYSE Euronext _ Lisbon,NYSE EURONEXT - EURONEXT LISBON,XLIS,XLIS,PRT
Madrid Stock Exchange (MAD),BOLSA DE MADRID,BOLSA DE MADRID,XMAD,BMEX,ESP
Madrid SE C.A.T.S. (MCE),MERCADO CONTINUO ESPANOL - CONTINUOUS MARKET,MERCADO CONTINUO ESPANOL - CONTINUOUS MARKET,XMCE,BMEX,ESP
Madrid Fixed Income Market,MERCADO ALTERNATIVO DE RENTA FIJA,MERCADO ALTERNATIVO DE RENTA FIJA,MARF,BMEX,ESP
Milan,Milan Stock Exchange,BORSA ITALIANA S.P.A.,XMIL,XMIL,ITA
Munich,Munich Stock Exchange,BOERSE MUENCHEN,XMUN,XMUN,DEU
Mexico,Mexico Stock Exchange,BOLSA MEXICANA DE VALORES (MEXICAN STOCK EXCHANGE),XMEX,XMEX,MEX
NSE,National Stock Exchange of India,NATIONAL STOCK EXCHANGE OF INDIA,XNSE,XNSE,IND
New Zealand Stock Exchange (NZE),NEW ZEALAND EXCHANGE LTD,NEW ZEALAND EXCHANGE LTD,XNZE,XNZE,NZL
OTC BB,OTC Bulletin Board Market,OTCBB,XOTC,XOTC,USA
Oslo,Oslo Stock Exchange,OSLO BORS ASA,XOSL,XOSL,NOR
Paris Stock Exchange (PAR),NYSE EURONEXT - EURONEXT PARIS,NYSE EURONEXT - EURONEXT PARIS,XPAR,XPAR,FRA
Other OTC,OTC Pink,OTC MARKETS,OTCM,OTCM,USA
Sao Paolo,BOVESPA - Sao Paolo Stock Exchange,"BM&FBOVESPA S.A. - BOLSA DE VALORES, MERCADORIAS E FUTUROS",BVMF,BVMF,BRA
Stuttgart Stock Exchange (STU),BOERSE STUTTGART,BOERSE STUTTGART,XSTU,XSTU,DEU
SES,Singapore Stock Exchange,SINGAPORE EXCHANGE,XSES,XSES,SGP
Santiago Stock Exchange (SGO),SANTIAGO STOCK EXCHANGE,SANTIAGO STOCK EXCHANGE,XSGO,XSGO,CHL
Shanghai,Shanghai Stock Exchange,SHANGHAI STOCK EXCHANGE,XSHG,XSHG,CHN
Stockholm,Stockholm Stock Exchange,NASDAQ OMX NORDIC,XSTO,XSTO,SWE
Swiss,Swiss Exchange,SWISS EXCHANGE,XSWX,XSWX,CHE
Shenzhen Stock Exchange (SHZ),SHENZHEN STOCK EXCHANGE,SHENZHEN STOCK EXCHANGE,XSHE,XSHE,CHN
Tel Aviv,Tel Aviv Stock Exchange,TEL AVIV STOCK EXCHANGE,XTAE,XTAE,ISR
Toronto,Toronto,TORONTO STOCK EXCHANGE,XTSE,XTSE,CAN
Taiwan,Taiwan Stock Exchange,TAIWAN STOCK EXCHANGE,XTAI,XTAI,TWN
Taiwan OTC Exchange (TWO),GRETAI SECURITIES MARKET,GRETAI SECURITIES MARKET,ROCO,ROCO,TWN
TSXV,TSX Venture Exchange,TSX VENTURE EXCHANGE,XTSX,XTSX,CAN
Vienna,Vienna Stock Exchange,WIENER BOERSE AG,XWBO,XWBO,AUT
NasdaqCM,NASDAQ Capital Market,NASDAQ CAPITAL MARKET,XNCM,XNAS,USA
NasdaqGM,NASDAQ GLOBAL MARKET,NASDAQ/NMS (GLOBAL MARKET),XNMS,XNAS,USA
NasdaqGS,NASDAQ GLOBAL MARKET SELECT,NASDAQ/NGS (GLOBAL SELECT MARKET),XNGS,XNAS,USA
NYSE,New York Stock Exchange,"NEW YORK STOCK EXCHANGE, INC.",XNYS,XNYS,USA
NYSE MKT,NYSE MKT LLC,"NEW YORK STOCK EXCHANGE, INC.",XNYS,XNYS,USA
NYSEArca,NYSE ARCA,NYSE ARCA,ARCX,XNYS,USA
